program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
3,2025-06-05T10:35:00Z,6,147,33458
3,2025-06-05T10:36:00Z,6,143,32206
3,2025-06-05T10:37:00Z,7,125,27785
3,2025-06-05T10:38:00Z,5,135,30466
3,2025-06-05T10:39:00Z,5,109,24586
3,2025-06-05T10:40:00Z,4,120,27016
3,2025-06-05T10:41:00Z,8,150,34361
3,2025-06-05T10:42:00Z,6,138,31421
3,2025-06-05T10:43:00Z,4,64,14347
3,2025-06-05T10:44:00Z,0,18,3896
3,2025-06-05T10:45:00Z,0,6,1138
3,2025-06-05T10:46:00Z,2,51,11761
3,2025-06-05T10:47:00Z,7,124,28303
3,2025-06-05T10:48:00Z,5,119,26486
3,2025-06-05T10:49:00Z,6,116,20086
3,2025-06-05T10:50:00Z,5,58,9456
4,2025-06-05T10:53:00Z,0,28,6321
4,2025-06-05T10:54:00Z,5,93,23641
4,2025-06-05T10:55:00Z,5,114,29606
4,2025-06-05T10:56:00Z,4,113,29001
4,2025-06-05T10:57:00Z,7,143,37206
4,2025-06-05T10:58:00Z,8,142,37544
4,2025-06-05T10:59:00Z,6,136,36277
4,2025-06-05T11:00:00Z,8,150,38840
4,2025-06-05T11:01:00Z,8,145,36613
4,2025-06-05T11:02:00Z,8,152,39067
4,2025-06-05T11:03:00Z,7,148,38582
4,2025-06-05T11:04:00Z,8,133,34258
4,2025-06-05T11:05:00Z,7,149,38579
4,2025-06-05T11:06:00Z,7,148,38389
4,2025-06-05T11:07:00Z,5,149,38209
4,2025-06-05T11:08:00Z,11,139,35193
4,2025-06-05T11:09:00Z,5,126,32846
4,2025-06-05T11:10:00Z,8,141,36760
4,2025-06-05T11:11:00Z,6,137,35853
4,2025-06-05T11:12:00Z,8,134,34711
4,2025-06-05T11:13:00Z,6,149,39534
4,2025-06-05T11:14:00Z,10,148,38821
4,2025-06-05T11:15:00Z,7,146,38513
4,2025-06-05T11:16:00Z,8,148,38691
4,2025-06-05T11:17:00Z,7,152,40432
4,2025-06-05T11:18:00Z,6,134,34683
4,2025-06-05T11:19:00Z,9,128,33706
4,2025-06-05T11:20:00Z,6,127,33271
4,2025-06-05T11:21:00Z,8,137,35980
4,2025-06-05T11:22:00Z,5,136,35347
4,2025-06-05T11:23:00Z,7,128,34139
4,2025-06-05T11:24:00Z,10,135,35374
4,2025-06-05T11:25:00Z,5,124,32029
4,2025-06-05T11:26:00Z,5,135,35436
4,2025-06-05T11:27:00Z,9,130,34158
4,2025-06-05T11:28:00Z,5,143,36837
4,2025-06-05T11:29:00Z,8,115,30396
4,2025-06-05T11:30:00Z,5,150,38495
4,2025-06-05T11:31:00Z,10,144,37402
4,2025-06-05T11:32:00Z,6,134,33298
4,2025-06-05T11:33:00Z,9,149,38272
4,2025-06-05T11:34:00Z,7,144,36522
4,2025-06-05T11:35:00Z,5,125,32724
4,2025-06-05T11:36:00Z,9,124,31865
4,2025-06-05T11:37:00Z,5,140,35775
4,2025-06-05T11:38:00Z,7,148,37142
4,2025-06-05T11:39:00Z,8,152,39361
4,2025-06-05T11:40:00Z,8,143,36387
4,2025-06-05T11:41:00Z,6,139,34844
4,2025-06-05T11:42:00Z,7,148,38058
4,2025-06-05T11:43:00Z,8,137,34496
4,2025-06-05T11:44:00Z,8,128,32917
4,2025-06-05T11:45:00Z,6,79,19049
5,2025-06-05T11:55:00Z,0,7,2815
5,2025-06-05T11:56:00Z,7,112,40257
5,2025-06-05T11:57:00Z,8,121,42502
5,2025-06-05T11:58:00Z,5,98,34297
5,2025-06-05T11:59:00Z,9,131,46629
5,2025-06-05T12:00:00Z,7,106,37362
5,2025-06-05T12:01:00Z,7,119,37843
5,2025-06-05T12:02:00Z,9,129,39963
5,2025-06-05T12:03:00Z,11,133,41500
5,2025-06-05T12:04:00Z,6,136,42235
5,2025-06-05T12:05:00Z,6,119,36698
